"name","count","residential pop.","daytime pop.","trains","entry/exit","all passengers"
"Acton Town",16,0.409353733,0.303449845,1.470588235,0.914233472,0.100231786
"Archway",4,0.063209127,0.078752559,0.543478261,0.154006083,0.038570946
"Aldgate East",5,0.046735961,0.003825124,0.626566416,0.157833265,0.030595261
"Angel",11,0.112643749,0.059361273,1.484480432,0.189615942,0.049224711
"Aldgate",1,0.010567697,0.000589262,0.15060241,0.042876131,0.01262993
"Alperton",2,0.047369792,0.045123299,0.714285714,0.218986094,0.052855519
"Amersham",2,0.288433804,0.270014851,1.941747573,0.371057514,0.371057514
"Arnos Grove",6,0.229200092,0.291304559,0.752823087,0.450146298,0.147594214
"Arsenal",1,0.008112998,0.00837563,0.125156446,0.110241429,0.008140472
"Bromley-by-Bow",3,0.056098884,0.05630842,0.37593985,0.361445783,0.023541967
"Barbican",2,0.015959399,0.000959567,0.225225225,0.058151368,0.009744214
"Bounds Green",4,0.099780483,0.117526076,0.501882058,0.222382832,0.06975933
"Becontree",1,0.038566856,0.051511873,0.203665988,0.106575722,0.018440658
"Barkingside",1,0.047250047,0.052512734,0.276243094,0.260484501,0.1367054
"Blackfriars",6,0.065892792,0.002746115,0.652173913,0.187412151,0.0253979
"Barking",3,0.081461971,0.085760842,0.37593985,0.067700223,0.032503413
"Buckhurst Hill",3,0.214776632,0.279225614,0.694444444,0.465766185,0.088167872
"Bethnal Green",17,0.162788471,0.173541992,1.936218679,0.368140673,0.064376138
"Balham",4,0.06275888,0.096017667,0.487210719,0.105218855,0.029539043
"Blackhorse Road",3,0.115696105,0.131914519,0.437317784,0.136301681,0.043429796
"Bermondsey",3,0.04647344,0.053858997,0.321888412,0.119655392,0.009349697
"Bond Street",15,0.101072718,0.011742354,0.828729282,0.124877204,0.028582535
"Bank / Monument",52,0.734286965,0.018218536,1.686668829,0.244262187,0.060814873
"Borough",3,0.023022908,0.00392533,0.4048583,0.196463654,0.021194973
"Boston Manor",3,0.094396023,0.103899702,0.677200903,0.479616307,0.038392629
"Barons Court",4,0.023826401,0.016644405,0.310318076,0.176180409,0.015148703
"Baker Street",35,0.166889981,0.054255154,1.25,0.389187266,0.057724342
"Burnt Oak",2,0.050061325,0.056261956,0.280504909,0.169534627,0.081582704
"Brent Cross",0,0,0,0,0,0
"Bow Road",3,0.033831025,0.040299831,0.37593985,0.185770017,0.021719457
"Bayswater",3,0.014176622,0.009496706,0.681818182,0.197967533,0.068930656
"Brixton",4,0.046604295,0.064437142,0.397219464,0.052260939,0.052260939
"Belsize Park",5,0.049400769,0.052770449,0.676589986,0.260661036,0.048052435
"Chalfont & Latimer",0,0,0,0,0,0
"Caledonian Road",6,0.059532078,0.065717415,0.750938673,0.358059318,0.040483918
"Chalk Farm",1,0.009585981,0.008367361,0.135317997,0.062762819,0.008680179
"Covent Garden",9,0.068443147,0.004204886,1.12640801,0.156483639,0.035602252
"Canning Town",24,1.01227382,0.696116251,3.037974684,0.328052598,0.132891837
"Chancery Lane",14,0.102694257,0.007791664,1.59453303,0.236043904,0.037471227
"Charing Cross",13,0.11737937,0.007274408,0.897790055,0.228326542,0.047009474
"Cockfosters",2,0.224567707,0.238834488,0.332778702,0.367444424,0.367444424
"Colindale",0,0,0,0,0,0
"Clapham Common",3,0.033407572,0.047804956,0.365408039,0.106307583,0.017260823
"Canons Park",3,0.126758778,0.155054786,0.470219436,0.451195669,0.172821015
"Clapham North",3,0.024985841,0.034362687,0.365408039,0.171027878,0.016195643
"Clapham South",6,0.121526371,0.167705509,0.730816078,0.238407438,0.039492391
"Colliers Wood",4,0.083713532,0.081796246,0.487210719,0.222345748,0.076928995
"Chesham",3,0.411918166,0.364298725,3.896103896,1.308900524,1.308900524
"Cannon Street",0,0,0,0,0,0
"Camden Town",25,0.226246391,0.160222517,1.694915254,0.441586887,0.090546247
"Chigwell",2,0.338409475,0.456100342,1.739130435,1.192605844,0.1614205
"Chiswick Park",5,0.083631619,0.066639122,1.886792453,0.715922108,0.168440911
"Canada Water",20,0.420539131,0.57059713,2.145922747,0.28659454,0.060959998
"Croxley",1,0.109805644,0.118497452,0.492610837,0.323101777,0.120729204
"Chorleywood",0,0,0,0,0,0
"Canary Wharf",23,0.645287995,0.172153111,2.467811159,0.13405607,0.07109979
"Debden",5,0.780640125,0.575440212,1.322751323,0.641107834,0.257918085
"Dagenham East",3,0.140745954,0.16497113,0.610997963,0.393494229,0.093495808
"Dagenham Heathway",8,0.232876314,0.298964834,1.629327902,0.497822029,0.17055751
"Dollis Hill",4,0.076103501,0.091560418,0.502512563,0.384948513,0.080604534
"Elephant & Castle",13,0.0903537,0.053001084,0.901525659,0.230520977,0.073195313
"Eastcote",3,0.136574706,0.186846039,0.632911392,0.341413452,0.071706862
"East Acton",2,0.075471698,0.060494238,0.255754476,0.177698801,0.019776525
"Ealing Broadway",6,0.135783471,0.137193031,1.01010101,0.111255331,0.108542277
